    147,A:A,H/H_qe,trans-H/H,3
    135,A:A,H_qe/H,trans-H/H,3
     70,A:A,H_qe/H,trans-H/H,2
     68,A:A,H/H,trans-H/H,3
     44,A:A,H_i/H,trans-H/H,4
     29,A:A,H_qe/H_qe,trans-H/H,3
     26,G:A,H_qe/H,trans-H/H,2
     24,A:A,H_qe/H,trans-H/H,1
     24,A:A,H_i/H_i,trans-H/H,1
     17,A:A,H_i/H,trans-H/H,3
     15,U:A,H_e/H_e,trans-H/H,1
     14,A:A,H_ie/H_ie,trans-H/H,2
     13,A:A,H/H_qe,trans-H/H,2
      9,A:A,H_qe/H_qe,trans-H/H,1
      9,A:A,H_e/H_e,trans-H/H,3
      8,A:A,H_qe/H_qe,trans-H/H,2
      7,A:A,H_e/H_ie,trans-H/H,3
      4,A:A,H_qe/H_i,trans-H/H,3
      3,A:A,H/H,trans-H/H,4
      3,A:A,H/H_qe,trans-H/H,4
      3,A:A,H/H_qe,trans-H/H,1
      2,C:A,H_e/H_e,trans-H/H,2
      2,A:A,H_i/H_qe,trans-H/H,3
      2,A:A,H/H,trans-H/H,2
      2,A:A,H_e/H_ie,trans-H/H,2
      2,A:A,H_e/H_e,trans-H/H,4
      2,A:A,H_e/H_e,trans-H/H,1
      1,A:A,H_qe/H,trans-H/H,5
      1,A:A,H_qe/H,trans-H/H,4
      1,A:A,H_qe/H_i,trans-H/H,2
      1,A:A,H_i/H_qe,trans-H/H,2
      1,A:A,H_ie/H_e,trans-H/H,3
      1,A:A,H/H_i,trans-H/H,3
      1,A:A,H_e/H_ie,trans-H/H,1
